experiment,method,parameterization,sample_rmse,sample_to_curve_rmse,truth_to_curve_rmse,curve_to_truth_rmse,chamfer,noise_std
parameterization,interpolation,uniform,0.000000,0.005944,0.040055,0.032005,0.001314,
parameterization,interpolation,chord,0.000000,0.004138,0.046419,0.043150,0.002008,
parameterization,interpolation,centripetal,0.000000,0.004591,0.042636,0.037239,0.001602,
method_comparison,interpolation,chord,0.000000,0.002399,0.007046,0.007068,0.000050,
method_comparison,pchip,chord,0.000000,0.002097,0.007813,0.007216,0.000057,
method_comparison,rbf,chord,0.000000,0.002316,0.006671,0.005575,0.000038,
method_comparison,smoothing,chord,0.034466,0.032235,0.032678,0.027402,0.000909,
noise_robustness,interpolation,chord,0.000000,0.002169,0.055314,0.073176,0.004207,
noise_robustness,smoothing,chord,0.056987,0.039909,0.055682,0.057660,0.003213,
noise_robustness,smoothing,centripetal,0.025496,0.018835,0.056070,0.062112,0.003501,
noise_sweep,interpolation,chord,0.000000,0.002775,0.004115,0.003153,0.000013,0.00
noise_sweep,interpolation,chord,0.000000,0.002826,0.021212,0.024504,0.000525,0.02
noise_sweep,interpolation,chord,0.000000,0.002715,0.039733,0.048407,0.001961,0.04
noise_sweep,interpolation,chord,0.000000,0.002169,0.055314,0.073176,0.004207,0.06
noise_sweep,interpolation,chord,0.000000,0.003392,0.071273,0.108559,0.008432,0.08
noise_sweep,interpolation,chord,0.000000,0.003476,0.078597,0.130201,0.011565,0.10
noise_sweep,pchip,chord,0.000000,0.002467,0.005098,0.003707,0.000020,0.00
noise_sweep,pchip,chord,0.000000,0.002607,0.020972,0.024021,0.000508,0.02
noise_sweep,pchip,chord,0.000000,0.002082,0.039459,0.047436,0.001904,0.04
noise_sweep,pchip,chord,0.000000,0.001511,0.052619,0.070058,0.003838,0.06
noise_sweep,pchip,chord,0.000000,0.002166,0.061940,0.091769,0.006129,0.08
noise_sweep,pchip,chord,0.000000,0.002270,0.067563,0.111308,0.008477,0.10
noise_sweep,rbf,chord,0.000000,0.002716,0.003903,0.002662,0.000011,0.00
noise_sweep,rbf,chord,0.000000,0.002790,0.021019,0.023956,0.000508,0.02
noise_sweep,rbf,chord,0.000000,0.002509,0.039728,0.047372,0.001911,0.04
noise_sweep,rbf,chord,0.000000,0.001983,0.053174,0.069611,0.003837,0.06
noise_sweep,rbf,chord,0.000000,0.002964,0.060141,0.091639,0.006007,0.08
noise_sweep,rbf,chord,0.000000,0.003021,0.063094,0.112612,0.008331,0.10
noise_sweep,smoothing,chord,0.054487,0.051294,0.051929,0.041697,0.002218,0.00
noise_sweep,smoothing,chord,0.055020,0.051882,0.057891,0.049189,0.002885,0.02
noise_sweep,smoothing,chord,0.056017,0.051010,0.058953,0.053288,0.003158,0.04
noise_sweep,smoothing,chord,0.056987,0.039909,0.055682,0.057660,0.003213,0.06
noise_sweep,smoothing,chord,0.057990,0.041483,0.085866,0.115589,0.010367,0.08
noise_sweep,smoothing,chord,0.059003,0.047800,0.088816,0.107612,0.009734,0.10
metric_definition,interpolation,chord,0.000000,0.002169,0.055314,0.073176,0.004207,
metric_definition,smoothing,chord,0.056987,0.039909,0.055682,0.057660,0.003213,
